PERMNO,date,PRC
52919,20080201,58.40000
52919,20080204,57.73000
52919,20080205,54.50000
52919,20080206,52.78000
52919,20080207,53.65000
52919,20080208,52.19000
52919,20080211,51.92000
52919,20080212,51.48000
52919,20080213,52.18000
52919,20080214,50.72000
52919,20080215,51.64000
52919,20080219,50.13000
52919,20080220,51.84000
52919,20080221,50.90000
52919,20080222,53.05000
52919,20080225,54.42000
52919,20080226,54.30000
52919,20080227,54.21000
52919,20080228,51.66000
52919,20080229,49.56000
52919,20080303,48.64000
52919,20080304,49.83000
52919,20080305,49.31720
52919,20080306,45.86000
52919,20080307,45.19000
52919,20080310,42.84000
52919,20080311,45.60000
52919,20080312,44.92000
52919,20080313,46.26000
52919,20080314,43.51000
52919,20080317,41.18000
52919,20080318,46.63000
52919,20080319,41.45000
52919,20080320,46.85000
52919,20080324,48.38000
52919,20080325,47.85000
52919,20080326,44.42000
52919,20080327,41.90000
52919,20080328,39.93000
52919,20080331,40.74000
52919,20080401,46.02040
52919,20080402,45.34000
52919,20080403,45.89000
52919,20080404,46.25000
52919,20080407,47.55000
52919,20080408,46.80000
52919,20080409,46.00000
52919,20080410,44.67000
52919,20080411,43.68000
52919,20080414,42.88000
52919,20080415,43.34000
52919,20080416,44.89000
52919,20080417,46.71000
52919,20080418,47.35000
52919,20080421,46.41000
52919,20080422,46.50000
52919,20080423,44.91000
52919,20080424,48.09000
52919,20080425,49.64000
52919,20080428,49.80000
52919,20080429,49.82000
52919,20080430,49.83000
52919,20080501,52.39000
52919,20080502,52.71000
52919,20080505,51.75000
52919,20080506,51.35000
52919,20080507,48.48000
52919,20080508,47.94000
52919,20080509,48.45000
52919,20080512,49.15000
52919,20080513,48.26000
52919,20080514,48.87000
52919,20080515,49.97000
52919,20080516,48.85000
52919,20080519,47.71000
52919,20080520,46.31000
52919,20080521,44.99000
52919,20080522,44.50000
52919,20080523,43.36000
52919,20080527,44.00000
52919,20080528,43.82000
52919,20080529,44.28000
52919,20080530,43.92000
52919,20080602,42.62000
52919,20080603,41.89000
52919,20080604,40.77000
52919,20080605,40.96000
52919,20080606,39.02000
52919,20080609,37.76000
52919,20080610,37.95000
52919,20080611,35.46000
52919,20080612,36.28000
52919,20080613,38.00000
52919,20080616,38.96000
52919,20080617,37.92000
52919,20080618,37.55000
52919,20080619,37.69000
52919,20080620,35.95000
52919,20080623,34.54000
52919,20080624,35.06000
52919,20080625,35.46000
52919,20080626,33.05000
52919,20080627,32.70000
52919,20080630,31.71000
52919,20080701,32.25000
52919,20080702,31.15000
52919,20080703,31.12000
52919,20080707,30.36000
52919,20080708,32.77000
52919,20080709,29.74000
52919,20080710,28.71000
52919,20080711,27.61000
52919,20080714,25.88000
52919,20080715,24.69000
52919,20080716,28.00000
52919,20080717,30.73000
52919,20080718,30.91000
52919,20080721,30.58000
52919,20080722,34.18000
52919,20080723,33.81000
52919,20080724,29.04000
52919,20080725,27.52000
52919,20080728,24.33000
52919,20080729,26.25000
52919,20080730,26.91000
52919,20080731,26.65000
52919,20080801,26.85000
52919,20080804,26.39000
52919,20080805,28.22000
52919,20080806,28.50000
52919,20080807,26.10000
52919,20080808,26.87000
52919,20080811,26.49000
52919,20080812,24.88000
52919,20080813,25.60000
52919,20080814,25.98000
52919,20080815,26.29000
52919,20080818,24.74000
52919,20080819,23.82000
52919,20080820,24.41000
52919,20080821,24.34000
52919,20080822,25.22000
52919,20080825,24.20000
52919,20080826,24.10000
52919,20080827,25.27000
52919,20080828,27.52000
52919,20080829,28.35000
52919,20080902,27.75000
52919,20080903,28.33000
52919,20080904,26.21000
52919,20080905,26.73000
52919,20080908,27.59000
52919,20080909,24.76000
52919,20080910,23.30000
52919,20080911,19.43000
52919,20080912,17.05000
52919,20080915,17.06000
52919,20080916,22.18000
52919,20080917,19.36000
52919,20080918,22.06000
52919,20080919,29.50000
52919,20080922,28.05000
52919,20080923,26.20000
52919,20080924,26.45000
52919,20080925,26.11000
52919,20080926,27.36000
52919,20080929,22.00000
52919,20080930,25.30000
52919,20081001,26.70000
52919,20081002,27.40000
52919,20081003,26.67000
52919,20081006,24.20000
52919,20081007,18.00000
52919,20081008,17.98000
52919,20081009,13.32000
52919,20081010,15.75000
52919,20081013,17.62000
52919,20081014,21.35000
52919,20081015,18.24000
52919,20081016,18.35000
52919,20081017,18.15000
52919,20081020,19.32000
52919,20081021,18.63000
52919,20081022,17.16000
52919,20081023,17.51000
52919,20081024,15.86000
52919,20081027,15.21000
52919,20081028,17.89000
52919,20081029,17.55000
52919,20081030,17.78000
52919,20081031,18.59000
52919,20081103,18.94000
52919,20081104,19.99000
52919,20081105,17.62000
52919,20081106,16.23000
52919,20081107,16.75000
52919,20081110,15.51000
52919,20081111,14.90000
52919,20081112,13.35000
52919,20081113,13.80000
52919,20081114,13.20000
52919,20081117,11.78000
52919,20081118,11.40000
52919,20081119,9.60000
52919,20081120,7.96000
52919,20081121,8.34000
52919,20081124,11.53000
52919,20081125,11.36000
52919,20081126,12.21000
52919,20081128,13.22000
52919,20081201,10.13000
52919,20081202,11.56000
52919,20081203,12.43000
52919,20081204,11.91000
52919,20081205,13.04000
52919,20081208,15.25000
52919,20081209,14.50000
52919,20081210,14.10000
52919,20081211,12.67000
52919,20081212,12.66000
52919,20081215,11.91000
52919,20081216,12.95000
52919,20081217,12.55000
52919,20081218,11.80000
52919,20081219,11.89000
52919,20081222,11.42000
52919,20081223,10.88000
52919,20081224,11.59000
52919,20081226,11.43000
52919,20081229,11.07000
52919,20081230,11.27000
52919,20081231,11.64000
52919,20090102,
68304,20050103,102.37000
68304,20050104,101.35000
68304,20050105,102.31000
68304,20050106,103.09000
68304,20050107,102.62000
68304,20050110,102.58000
68304,20050111,102.00000
68304,20050112,101.14000
68304,20050113,99.96000
68304,20050114,100.59000
68304,20050118,101.76000
68304,20050119,101.30000
68304,20050120,100.06000
68304,20050121,99.25000
68304,20050124,99.42000
68304,20050125,98.86000
68304,20050126,99.16000
68304,20050127,99.18000
68304,20050128,99.56000
68304,20050131,101.06000
68304,20050201,101.99000
68304,20050202,101.47000
68304,20050203,100.90000
68304,20050204,102.95000
68304,20050207,102.47000
68304,20050208,102.96000
68304,20050209,102.75000
68304,20050210,103.59000
68304,20050211,104.05000
68304,20050214,103.40000
68304,20050215,103.00000
68304,20050216,101.74000
68304,20050217,100.27000
68304,20050218,97.84000
68304,20050222,96.88000
68304,20050223,97.69000
68304,20050224,96.65000
68304,20050225,98.61000
68304,20050228,99.50000
68304,20050301,101.37000
68304,20050302,101.17000
68304,20050303,100.90000
68304,20050304,103.20000
68304,20050307,103.62000
68304,20050308,104.20000
68304,20050309,103.26000
68304,20050310,104.31000
68304,20050311,103.33000
68304,20050314,104.74000
68304,20050315,106.03000
68304,20050316,102.13000
68304,20050317,102.99000
68304,20050318,102.03000
68304,20050321,101.87000
68304,20050322,99.58000
68304,20050323,99.25000
68304,20050324,98.38000
68304,20050328,98.31000
68304,20050329,98.00000
68304,20050330,99.84000
68304,20050331,99.90000
68304,20050401,98.27000
68304,20050404,99.29000
68304,20050405,98.27000
68304,20050406,99.64000
68304,20050407,99.01000
68304,20050408,98.33000
68304,20050411,98.65000
68304,20050412,98.49000
68304,20050413,97.17000
68304,20050414,95.82000
68304,20050415,94.92000
68304,20050418,96.34000
68304,20050419,96.34000
68304,20050420,94.19000
68304,20050421,95.35000
68304,20050422,94.84000
68304,20050425,96.29000
68304,20050426,95.81000
68304,20050427,95.63000
68304,20050428,93.73000
68304,20050429,94.66000
68304,20050502,93.81000
68304,20050503,93.58000
68304,20050504,97.40000
68304,20050505,97.68000
68304,20050506,96.59000
68304,20050509,97.79000
68304,20050510,94.49000
68304,20050511,95.60000
68304,20050512,93.09000
68304,20050513,94.39000
68304,20050516,95.74000
68304,20050517,95.50000
68304,20050518,97.67000
68304,20050519,98.64000
68304,20050520,98.80000
68304,20050523,98.82000
68304,20050524,98.19000
68304,20050525,97.33000
68304,20050526,97.60000
68304,20050527,98.17000
68304,20050531,99.04000
68304,20050601,98.92000
68304,20050602,98.98000
68304,20050603,97.96000
68304,20050606,98.32000
68304,20050607,98.04000
68304,20050608,98.76000
68304,20050609,99.88000
68304,20050610,99.12000
68304,20050613,99.08000
68304,20050614,100.33000
68304,20050615,101.34000
68304,20050616,103.09000
68304,20050617,104.79000
68304,20050620,103.38000
68304,20050621,103.16000
68304,20050622,103.03000
68304,20050623,102.74000
68304,20050624,104.27000
68304,20050627,103.82000
68304,20050628,104.94000
68304,20050629,104.56000
68304,20050630,103.94000
68304,20050701,104.60000
68304,20050705,105.18000
68304,20050706,105.48000
68304,20050707,105.72000
68304,20050708,107.21000
68304,20050711,106.78000
68304,20050712,106.71000
68304,20050713,107.04000
68304,20050714,106.44000
68304,20050715,105.90000
68304,20050718,105.36000
68304,20050719,106.50000
68304,20050720,106.34000
68304,20050721,103.87000
68304,20050722,105.18000
68304,20050725,104.22000
68304,20050726,103.08000
68304,20050727,103.65000
68304,20050728,103.93000
68304,20050729,102.11000
68304,20050801,103.15000
